Time, Date, Ch1, Ch2, NAE
3558093737,2016/9/30 15:22:17,319,562,0
3558093738,2016/9/30 15:22:18,346,488,0
3558093739,2016/9/30 15:22:19,385,529,0
3558093740,2016/9/30 15:22:20,378,477,0
3558093741,2016/9/30 15:22:21,315,375,0
3558093742,2016/9/30 15:22:22,329,420,0
3558093743,2016/9/30 15:22:23,414,466,0
3558093744,2016/9/30 15:22:24,413,362,0
3558093745,2016/9/30 15:22:25,341,398,0
3558093746,2016/9/30 15:22:26,331,494,0
3558093747,2016/9/30 15:22:27,380,484,0
3558093748,2016/9/30 15:22:28,421,496,0
3558093749,2016/9/30 15:22:29,374,511,0
3558093750,2016/9/30 15:22:30,403,505,0
3558093751,2016/9/30 15:22:31,301,368,0
3558093752,2016/9/30 15:22:32,399,460,0
3558093753,2016/9/30 15:22:33,333,432,0
3558093754,2016/9/30 15:22:34,369,450,0
3558093755,2016/9/30 15:22:35,418,550,0
3558093756,2016/9/30 15:22:36,438,502,0
3558093757,2016/9/30 15:22:37,405,464,0
3558093758,2016/9/30 15:22:38,410,504,0
3558093759,2016/9/30 15:22:39,415,518,0
3558093760,2016/9/30 15:22:40,386,450,0
3558093761,2016/9/30 15:22:41,410,515,0
3558093762,2016/9/30 15:22:42,426,507,0
3558093763,2016/9/30 15:22:43,319,408,0
3558093764,2016/9/30 15:22:44,311,458,0
3558093765,2016/9/30 15:22:45,405,485,0
3558093766,2016/9/30 15:22:46,411,355,0
3558093767,2016/9/30 15:22:47,431,489,0
3558093768,2016/9/30 15:22:48,358,412,0
3558093769,2016/9/30 15:22:49,401,487,0
3558093770,2016/9/30 15:22:50,378,458,0
3558093771,2016/9/30 15:22:51,319,467,0
3558093772,2016/9/30 15:22:52,334,409,0
3558093773,2016/9/30 15:22:53,410,498,0
3558093774,2016/9/30 15:22:54,317,583,0
3558093775,2016/9/30 15:22:55,414,493,0
3558093776,2016/9/30 15:22:56,336,453,0
3558093777,2016/9/30 15:22:57,400,499,0
3558093778,2016/9/30 15:22:58,389,462,0
3558093779,2016/9/30 15:22:59,390,596,0
3558093792,2016/9/30 15:23:12,298,406,0
3558093793,2016/9/30 15:23:13,393,569,0
3558093794,2016/9/30 15:23:14,408,467,0
3558093795,2016/9/30 15:23:15,346,416,0
3558093796,2016/9/30 15:23:16,325,492,0
3558093797,2016/9/30 15:23:17,347,539,0
3558093798,2016/9/30 15:23:18,369,493,0
3558093799,2016/9/30 15:23:19,359,1,0
3558093811,2016/9/30 15:23:31,317,359,0
3558093812,2016/9/30 15:23:32,408,501,0
3558093813,2016/9/30 15:23:33,361,454,0
3558093814,2016/9/30 15:23:34,345,451,0
3558093815,2016/9/30 15:23:35,314,432,0
3558093816,2016/9/30 15:23:36,277,354,0
3558093817,2016/9/30 15:23:37,408,504,0
3558093818,2016/9/30 15:23:38,340,471,0
3558093819,2016/9/30 15:23:39,337,472,0
3558093820,2016/9/30 15:23:40,325,419,0
3558093821,2016/9/30 15:23:41,298,465,0
3558093822,2016/9/30 15:23:42,378,535,0
3558093823,2016/9/30 15:23:43,346,524,0
3558093824,2016/9/30 15:23:44,394,447,0
3558093825,2016/9/30 15:23:45,328,435,0
3558093826,2016/9/30 15:23:46,389,514,0
3558093827,2016/9/30 15:23:47,338,522,0
3558093828,2016/9/30 15:23:48,398,483,0
3558093829,2016/9/30 15:23:49,428,494,0
3558093830,2016/9/30 15:23:50,415,485,0
3558093831,2016/9/30 15:23:51,296,451,0
3558093832,2016/9/30 15:23:52,426,522,0
3558093833,2016/9/30 15:23:53,448,572,0
3558093834,2016/9/30 15:23:54,412,464,0
3558093835,2016/9/30 15:23:55,318,456,0
3558093836,2016/9/30 15:23:56,368,520,0
3558093837,2016/9/30 15:23:57,336,498,0
3558093838,2016/9/30 15:23:58,421,478,0
3558093839,2016/9/30 15:23:59,325,382,0
3558093840,2016/9/30 15:24:0,415,489,0
3558093841,2016/9/30 15:24:1,400,461,0
3558093842,2016/9/30 15:24:2,343,455,0
3558093843,2016/9/30 15:24:3,384,488,0
3558093844,2016/9/30 15:24:4,317,492,0
3558093845,2016/9/30 15:24:5,432,485,0
3558093846,2016/9/30 15:24:6,334,485,0
3558093847,2016/9/30 15:24:7,345,394,0
3558093848,2016/9/30 15:24:8,326,487,0
3558093849,2016/9/30 15:24:9,314,457,0
3558093850,2016/9/30 15:24:10,316,457,0
3558093851,2016/9/30 15:24:11,332,434,0
3558093852,2016/9/30 15:24:12,323,380,0
3558093853,2016/9/30 15:24:13,400,479,0
3558093854,2016/9/30 15:24:14,379,442,0
3558093855,2016/9/30 15:24:15,387,539,0
3558093856,2016/9/30 15:24:16,308,415,0
3558093857,2016/9/30 15:24:17,365,570,0
3558093858,2016/9/30 15:24:18,388,455,0
3558093859,2016/9/30 15:24:19,337,456,0
3558093860,2016/9/30 15:24:20,394,510,0
3558093861,2016/9/30 15:24:21,392,453,0
3558093862,2016/9/30 15:24:22,402,467,0
3558093863,2016/9/30 15:24:23,417,494,0
3558093864,2016/9/30 15:24:24,396,453,0
3558093865,2016/9/30 15:24:25,319,496,0
3558093866,2016/9/30 15:24:26,347,546,0
3558093867,2016/9/30 15:24:27,305,383,0
3558093868,2016/9/30 15:24:28,343,437,0
3558093869,2016/9/30 15:24:29,382,508,0
3558093870,2016/9/30 15:24:30,375,475,0
3558093871,2016/9/30 15:24:31,419,487,0
3558093872,2016/9/30 15:24:32,383,474,0
3558093873,2016/9/30 15:24:33,416,475,0
3558093874,2016/9/30 15:24:34,388,449,0
3558093875,2016/9/30 15:24:35,369,589,0
3558093876,2016/9/30 15:24:36,455,526,0
3558093877,2016/9/30 15:24:37,352,519,0
3558093878,2016/9/30 15:24:38,390,445,0
3558093879,2016/9/30 15:24:39,361,540,0
3558093880,2016/9/30 15:24:40,357,452,0
3558093881,2016/9/30 15:24:41,404,513,0
3558093882,2016/9/30 15:24:42,427,489,0
3558093883,2016/9/30 15:24:43,369,509,0
3558093884,2016/9/30 15:24:44,427,511,0
3558093885,2016/9/30 15:24:45,345,402,0
3558093886,2016/9/30 15:24:46,366,453,0
3558093887,2016/9/30 15:24:47,428,521,0
3558093888,2016/9/30 15:24:48,321,461,0
3558093889,2016/9/30 15:24:49,374,513,0
3558093890,2016/9/30 15:24:50,424,482,0
3558093891,2016/9/30 15:24:51,358,572,0
3558093892,2016/9/30 15:24:52,400,478,0
3558093893,2016/9/30 15:24:53,402,476,0
3558093894,2016/9/30 15:24:54,343,608,0
3558093895,2016/9/30 15:24:55,338,538,0
3558093896,2016/9/30 15:24:56,384,435,0
3558093897,2016/9/30 15:24:57,317,496,0
3558093898,2016/9/30 15:24:58,394,500,0
3558093899,2016/9/30 15:24:59,309,438,0
3558093900,2016/9/30 15:25:0,314,466,0
3558093901,2016/9/30 15:25:1,412,474,0
3558093902,2016/9/30 15:25:2,333,427,0
3558093903,2016/9/30 15:25:3,421,489,0
3558093904,2016/9/30 15:25:4,358,488,0
3558093905,2016/9/30 15:25:5,349,432,0
3558093906,2016/9/30 15:25:6,408,522,0
3558093907,2016/9/30 15:25:7,372,506,0
3558093908,2016/9/30 15:25:8,301,369,0
3558093909,2016/9/30 15:25:9,394,486,0
3558093910,2016/9/30 15:25:10,392,486,0
3558093911,2016/9/30 15:25:11,418,515,0
3558093912,2016/9/30 15:25:12,418,365,0
3558093913,2016/9/30 15:25:13,343,387,0
3558093914,2016/9/30 15:25:14,389,468,0
3558093915,2016/9/30 15:25:15,411,481,0
3558093916,2016/9/30 15:25:16,372,430,0
3558093917,2016/9/30 15:25:17,312,368,0
3558093918,2016/9/30 15:25:18,303,478,0
3558093919,2016/9/30 15:25:19,331,433,0
3558093920,2016/9/30 15:25:20,399,478,0
3558093921,2016/9/30 15:25:21,399,497,0
3558093922,2016/9/30 15:25:22,395,483,0
3558093923,2016/9/30 15:25:23,323,385,0
3558093924,2016/9/30 15:25:24,431,491,0
3558093925,2016/9/30 15:25:25,329,391,0
