Time, Date, Ch1, Ch2, NAE
3556194223,2016/9/8 15:43:43,26,185,0
3556194224,2016/9/8 15:43:44,20,201,0
3556194225,2016/9/8 15:43:45,17,353,0
3556194226,2016/9/8 15:43:46,31,872,0
3556194227,2016/9/8 15:43:47,28,786,0
3556194228,2016/9/8 15:43:48,24,695,0
3556194229,2016/9/8 15:43:49,29,341,0
3556194230,2016/9/8 15:43:50,26,229,0
3556194242,2016/9/8 15:44:2,18,193,0
3556194243,2016/9/8 15:44:3,21,256,0
3556194244,2016/9/8 15:44:4,15,392,0
3556194245,2016/9/8 15:44:5,17,259,0
3556194246,2016/9/8 15:44:6,17,227,0
3556194247,2016/9/8 15:44:7,18,405,0
3556194248,2016/9/8 15:44:8,16,740,0
3556194249,2016/9/8 15:44:9,20,660,0
3556194250,2016/9/8 15:44:10,18,822,0
3556194251,2016/9/8 15:44:11,19,369,0
3556194252,2016/9/8 15:44:12,23,221,0
3556194273,2016/9/8 15:44:33,14,184,0
3556194274,2016/9/8 15:44:34,18,665,0
3556194275,2016/9/8 15:44:35,19,940,0
3556194276,2016/9/8 15:44:36,17,975,0
3556194277,2016/9/8 15:44:37,16,327,0
3556194369,2016/9/8 15:46:9,1099,18,0
3556194516,2016/9/8 15:48:36,1344,17,0
3556194535,2016/9/8 15:48:55,577,39,0
3556194545,2016/9/8 15:49:5,277,37,0
3556194546,2016/9/8 15:49:6,290,33,0
3556194835,2016/9/8 15:53:55,581,46,0
3556194850,2016/9/8 15:54:10,325,36,0
3556194851,2016/9/8 15:54:11,151,37,0
3556195135,2016/9/8 15:58:55,234,31,0
3556195140,2016/9/8 15:59:0,294,34,0
3556195145,2016/9/8 15:59:5,196,38,0
3556195146,2016/9/8 15:59:6,327,41,0
3556195435,2016/9/8 16:3:55,560,36,0
3556195443,2016/9/8 16:4:3,235,41,0
3556195735,2016/9/8 16:8:55,349,35,0
3556195742,2016/9/8 16:9:2,222,35,0
3556195743,2016/9/8 16:9:3,347,34,0
3556196035,2016/9/8 16:13:55,388,35,0
3556196045,2016/9/8 16:14:5,317,36,0
3556196046,2016/9/8 16:14:6,341,42,0
3556196335,2016/9/8 16:18:55,335,34,0
3556196344,2016/9/8 16:19:4,201,35,0
3556196635,2016/9/8 16:23:55,502,39,0
3556196645,2016/9/8 16:24:5,334,31,0
3556196646,2016/9/8 16:24:6,214,44,0
3556196935,2016/9/8 16:28:55,513,33,0
3556196942,2016/9/8 16:29:2,316,31,0
3556196943,2016/9/8 16:29:3,333,42,0
3556197235,2016/9/8 16:33:55,346,31,0
3556197243,2016/9/8 16:34:3,201,41,0
3556197535,2016/9/8 16:38:55,480,38,0
3556197546,2016/9/8 16:39:6,277,34,0
3556197835,2016/9/8 16:43:55,544,36,0
3556197836,2016/9/8 16:43:56,221,38,0
3556197842,2016/9/8 16:44:2,287,45,0
3556198135,2016/9/8 16:48:55,540,42,0
3556198142,2016/9/8 16:49:2,242,35,0
3556198143,2016/9/8 16:49:3,334,34,0
3556198435,2016/9/8 16:53:55,346,36,0
3556198442,2016/9/8 16:54:2,315,40,0
3556198443,2016/9/8 16:54:3,333,37,0
3556198735,2016/9/8 16:58:55,395,45,0
3556198745,2016/9/8 16:59:5,184,41,0
3556199035,2016/9/8 17:3:55,347,27,0
3556199045,2016/9/8 17:4:5,225,37,0
3556199046,2016/9/8 17:4:6,335,36,0
3556199335,2016/9/8 17:8:55,576,39,0
3556199345,2016/9/8 17:9:5,231,29,0
3556199346,2016/9/8 17:9:6,247,36,0
3556199635,2016/9/8 17:13:55,232,33,0
3556199647,2016/9/8 17:14:7,346,41,0
3556199935,2016/9/8 17:18:55,569,49,0
3556199946,2016/9/8 17:19:6,293,47,0
3556200235,2016/9/8 17:23:55,450,34,0
3556200242,2016/9/8 17:24:2,343,36,0
3556200535,2016/9/8 17:28:55,529,40,0
3556200546,2016/9/8 17:29:6,327,41,0
3556200547,2016/9/8 17:29:7,327,34,0
3556200835,2016/9/8 17:33:55,571,40,0
3556200843,2016/9/8 17:34:3,207,42,0
3556200851,2016/9/8 17:34:11,194,34,0
3556201135,2016/9/8 17:38:55,339,34,0
3556201143,2016/9/8 17:39:3,200,40,0
3556201144,2016/9/8 17:39:4,311,42,0
3556201434,2016/9/8 17:43:54,333,37,0
3556201441,2016/9/8 17:44:1,207,40,0
3556201442,2016/9/8 17:44:2,215,41,0
3556201735,2016/9/8 17:48:55,580,48,0
3556201741,2016/9/8 17:49:1,255,43,0
3556201745,2016/9/8 17:49:5,199,42,0
3556201746,2016/9/8 17:49:6,200,45,0
3556202034,2016/9/8 17:53:54,521,47,0
3556202041,2016/9/8 17:54:1,279,41,0
3556202335,2016/9/8 17:58:55,429,32,0
3556202345,2016/9/8 17:59:5,349,35,0
3556202346,2016/9/8 17:59:6,198,38,0
3556202634,2016/9/8 18:3:54,522,38,0
3556202641,2016/9/8 18:4:1,228,44,0
3556202642,2016/9/8 18:4:2,216,42,0
3556202934,2016/9/8 18:8:54,487,47,0
3556202945,2016/9/8 18:9:5,154,36,0
3556202946,2016/9/8 18:9:6,341,45,0
3556203234,2016/9/8 18:13:54,586,42,0
3556203243,2016/9/8 18:14:3,288,31,0
3556203244,2016/9/8 18:14:4,168,36,0
3556203533,2016/9/8 18:18:53,362,40,0
3556203541,2016/9/8 18:19:1,236,41,0
3556203542,2016/9/8 18:19:2,352,43,0
3556203738,2016/9/8 18:22:18,178,21,0
3556203833,2016/9/8 18:23:53,519,43,0
3556203844,2016/9/8 18:24:4,208,37,0
3556203845,2016/9/8 18:24:5,341,35,0
3556204133,2016/9/8 18:28:53,360,31,0
3556204141,2016/9/8 18:29:1,237,44,0
3556204142,2016/9/8 18:29:2,198,39,0
3556204433,2016/9/8 18:33:53,506,46,0
3556204441,2016/9/8 18:34:1,210,40,0
3556204442,2016/9/8 18:34:2,337,45,0
3556204733,2016/9/8 18:38:53,572,41,0
3556204744,2016/9/8 18:39:4,212,35,0
3556204745,2016/9/8 18:39:5,267,36,0
3556205033,2016/9/8 18:43:53,431,39,0
3556205044,2016/9/8 18:44:4,347,33,0
3556205045,2016/9/8 18:44:5,348,37,0
3556205333,2016/9/8 18:48:53,424,44,0
3556205345,2016/9/8 18:49:5,349,36,0
3556205633,2016/9/8 18:53:53,403,36,0
3556205645,2016/9/8 18:54:5,354,38,0
3556205935,2016/9/8 18:58:55,361,34,0
3556205944,2016/9/8 18:59:4,328,33,0
3556206233,2016/9/8 19:3:53,587,48,0
3556206244,2016/9/8 19:4:4,216,39,0
3556206245,2016/9/8 19:4:5,330,36,0
3556206534,2016/9/8 19:8:54,579,43,0
3556206546,2016/9/8 19:9:6,239,44,0
3556206833,2016/9/8 19:13:53,495,43,0
